trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.6252000000000006, 'e': 0.2184901630744239}",25,13,15.189538389934267,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.6241000000000007, 'e': 0.2142372081427421}",20,6,10.544981858062668,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.6230000000000007, 'e': 0.2100835437491692}",30,1,-53.57969798265786,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 2}",1
71,False,"{'a': 0.6219000000000007, 'e': 0.20602659841669257}",25,6,6.804878265279958,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.6208000000000007, 'e': 0.2020638730042086}",20,9,-36.70186662360836,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.6197000000000007, 'e': 0.19819293853171885}",20,0,3.189397205354469,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.6186000000000007, 'e': 0.19441143407473982}",25,11,24.772995986568873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.6175000000000007, 'e': 0.19071706472561356}",25,0,18.04920883436896,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.6164000000000007, 'e': 0.18710759961948328}",20,11,5.381260366234736,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.6153000000000007, 'e': 0.18358087002278028}",30,2,30.438029780946785,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.6142000000000007, 'e': 0.1801347674821404}",20,0,11.560790283687554,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.6131000000000008, 'e': 0.1767672420317426}",20,0,15.923675739121514,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.6120000000000008, 'e': 0.17347630045713044}",20,0,27.755831435060834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6109000000000008, 'e': 0.1702600046136464}",25,16,-5.342144054841752,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.6098000000000008, 'e': 0.1671164697976714}",25,8,3.2673765721639825,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.6087000000000008, 'e': 0.16404386316892694}",20,2,30.341302220082955,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6076000000000008, 'e': 0.16104040222215474}",30,0,1.7515701615835315,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
